index,rooms,metratura,bathrooms,floor,condominium_expenses,date,contract,typology,total_floors,availability,other_features,price,year_of_build,condition,air_conditioning,energy_efficiency,city,neighborhood,car_parking,energy_performance_building,housing units,start_end_works,current_building_use,energy_certification,co2_emissions,elevator,floor_level,heating_centralized,heating_radiator,heating_gas,air_conditiong_centralized,air_conditioning_heat
0,3,87,1,4,135,03/02/2023,sale,apartment | entire property | stately property class,5 floors,libero,fibra otticavideocitofonoporta blindataarmadio a murobalconeportiere mezza giornataimpianto tv centralizzatocantinainfissi esterni in doppio vetro / metalloesposizione doppia,620000,1910,good / habitable,"autonomous, cold",e201.52 kwh/m² year,milano,porta venezia,,winter summer,,,,,,1,4,autonomous,to radiators,gas powered,autonomous, cold
0,4,170,1,5,300,16/01/2023,sale,apartment | entire property | stately property class,5 floors,libero,impianto di allarmeporta blindataesposizione internabalconeterrazzaportiere intera giornataimpianto tv centralizzatocantinainfissi esterni in vetro / legno,890000,1970,good / habitable,"autonomous, cold/heat",g175 kwh/m² year,milano,barona,1 in garage/box,,,,,,,1,5,centralized,to radiators,methane powered,autonomous, cold/hot
0,5,160,2,5,250,15/02/2023,sale,apartment | entire property | medium property class,8 floors,libero,fibra otticaporta blindatabalconeportiere intera giornataimpianto tv centralizzatocantinainfissi esterni in vetro / legnoesposizione doppia,795000,1960,to be restructured,"autonomous, cold",g182.3 kwh/m² year,milano,argonne - corsica,,,,,,,,1,5,centralized,On the floor,methane powered,autonomous, cold
0,4,125,2,,300,17/02/2023,sale,apartment | entire property | stately property class,3 floors,,fibra otticavideocitofonoimpianto di allarmeporta blindatabalconeportiere intera giornataimpianto tv centralizzatoarredatocantinagiardino comuneinfissi esterni in doppio vetro / pvcesposizione doppia,699000,1967,very good / refurbished,"autonomous, cold/heat",g195.4 kwh/m² year,milano,maggiolina,1 in garage/box,,,,,,,1,2,centralized,to radiators,methane powered,autonomous, cold/hot
0,5,150,2,,400,23/02/2023,sale,apartment | entire property | stately property class,9 floors,libero,idromassaggiocancello elettricofibra otticavideocitofonoimpianto di allarmeporta blindataarmadio a murobalconeterrazzaportiere intera giornataimpianto tv centralizzatoparzialmente arredatocantinagiardino comuneinfissi esterni in doppio vetro / pvcesposizione doppia,960000,2007,very good / refurbished,system preparation,d120 kwh/m² year,milano,plebisciti - susa,1 in garage/box,,,,,,,1,3,autonomous,to radiators,methane powered,system preparation,
0,5+,537,3+,,,18/11/2022,sale,palace - building | stately property class,4 floors,libero,esposizione internaimpianto di allarme1 balconeinfissi esterni in doppio vetro / legno,1900000,1880,good / habitable,"autonomous, cold/heat",g223.6 kwh/m² year,milano,niguarda,2 all'esterno,,,,residenziale,,,0,4,autonomous,to radiators,gas powered,autonomous, cold/hot
0,5+,315,3,S,300,20/02/2023,sale,apartment | entire property | stately property class,6 floors,libero,fibra otticaporta blindataesposizione internaarmadio a muroportiere intera giornataimpianto tv centralizzatoinfissi esterni in doppio vetro / pvc,760000,1960,very good / refurbished,system preparation,g≥ 175 kwh/m² year,milano,morgagni,,,,,,,,1,S,centralized,to radiators,methane powered,system preparation,
0,5,180,2,1,300,22/02/2023,sale,apartment | entire property | stately property class,2 floors,libero,fibra otticavideocitofonoporta blindataterrazzaimpianto tv centralizzatoinfissi esterni in doppio vetro / pvcesposizione doppia,640000,1935,good / habitable,"autonomous, cold",d58.09 kwh/m² year,milano,ghisolfa - mac mahon,,,,,,,,0,1,centralized,to radiators,gas powered,autonomous, cold
0,3,95,1,5,250,23/02/2023,sale,apartment | entire property | stately property class,5 floors,libero,mansardafibra otticavideocitofonobalconeterrazzaimpianto tv centralizzatoinfissi esterni in doppio vetro / legnoesposizione doppia,680000,1929,to be restructured,,g175 kwh/m² year,milano,plebisciti - susa,,,,,,,,1,5,centralized,to radiators,methane powered,,
0,3,70,1,1,170,20/02/2023,sale,apartment | entire property | stately property class,5 floors,libero,cancello elettricofibra otticavideocitofonoporta blindatabalconeimpianto tv centralizzatocantinainfissi esterni in triplo vetro / pvcesposizione doppia,370000,1960,new / under construction,"autonomous, cold/heat",b≥ 175 kwh/m² year,milano,san siro,,,,,,,,1,1,centralized,On the floor,methane powered,autonomous, cold/hot
