metratura,price
330,980000
224,1800000
71,430000
60,318000
45,340000
159,895000
50,275000
102,649000
95,845000
130,765000
240,790000
153,1050000
125,500000
117,484000
75,235000
38,185000
65,425000
45,350000
70,455000
246,1510000
152,1070000
144,948000
110,695000
359,4249000
110,720000
349,3998000
45,229000
122,464000
64,318000
261,1700000
150,900000
130,710000
152,824000
100,549000
89,298000
150,745000
100,650000
110,399000
53,389000
45,379000
140,615000
120,580000
55,379000
110,595000
94,537000
142,664000
56,250000
86,1014300
55,179000
110,550000
155,1720000
109,1293750
103,447000
190,950000
50,185000
97,495000
75,380000
272,2020000
260,1960000
57,395000
120,490000
107,719000
63,441551
60,411000
176,1583000
55,185000
101,339000
85,530000
66,290000
99,405000
162,750000
83,254000
180,1550000
80,425000
83,389000
180,830000
80,299000
62,580000
99,435600
223,1340000
183,1480000
65,550000
120,1090000
160,890000
62,580000
95,369000
200,1250000
110,570000
80,215000
150,1290000
428,4980000
100,420000
90,695000
100,600000
95,495000
55,460000
102,550000
118,866000
79,299000
85,270000
133,855000
55,400000
140,790000
140,590000
59,337000
130,1150000
108,842300
80,325000
80,310000
90,420000
100,565000
120,520000
60,485000
156,1055000
202,980000
175,940000
66,275000
97,1242000
123,698000
123,635000
300,1950000
92,463243
149,1449000
60,485000
95,580000
120,900000
90,225000
60,365000
51,210000
60,595000
94,615000
109,871000
115,935000
85,499000
54,125000
103,507000
115,820000
215,990000
283,1950000
70,680000
61,600000
170,1040000
80,329000
47,250000
72,357291
80,399000
60,215000
45,178000
177,750000
70,165000
125,460000
90,570000
120,1079000
105,330000
125,1550000
79,440000
142,1635300
70,220000
60,295000
50,220000
223,1110000
70,570000
107,923000
282,3900000
181,1640000
66,194000
90,285000
81,1190700
157,438000
164,438000
201,850000
50,570000
50,670000
204,1937000
108,640000
105,328000
137,1160000
248,2248000
70,355000
225,1380000
70,180000
167,1360000
225,3375000
122,1030000
200,400000
130,720000
40,139000
252,1650000
85,498000
341,3410000
342,3420000
90,835000
104,660000
181,730000
90,352000
110,825000
160,1150000
130,320000
257,3370000
100,520000
145,830000
100,1260000
170,580000
100,1180000
89,825000
120,655000
104,259000
181,700000
165,850000
100,870000
95,660000
96,545000
92,249000
195,1920000
175,960000
120,249000
106,1260000
247,3000000
215,1730000
105,298000
115,935000
157,498000
250,1970000
246,1510000
100,158000
134,369000
210,945000
169,988650
63,411000
70,220000
135,400000
110,330000
103,287000
118,334000
71,225000
118,336000
110,320000
113,329000
85,580000
225,2300000
167,2950000
135,1499000
82,625000
82,625000
122,1050000
125,1105000
80,360000
60,177000
77,305390
80,540000
79,248000
55,375000
100,570000
90,1350000
50,255000
460,3800000
112,745000
65,530000
185,1850000
42,595000
105,279000
212,1190800
315,2800000
71,640000
128,1555000
168,2000000
170,1450000
225,1690000
48,178000
75,569000
80,499000
35,175000
135,780000
90,580000
155,1220000
65,375000
428,2100000
139,825000
212,1640000
150,1400000
116,650000
39,230000
80,420000
70,220000
250,2500000
855,4200000
112,610000
260,1050000
115,1050000
180,1950000
210,3350000
196,1990000
65,760000
48,300000
255,1035592
82,665000
95,620000
200,2280000
190,2000000
91,695000
115,635000
140,900000
117,610000
117,565000
128,610000
110,330000
100,690000
53,288000
1000,4950000
131,950000
313,750000
,5250000
259,2520000
170,2150000
127,1800000
217,1947000
134,835000
410,3900000
72,385000
55,349000
50,399000
55,399000
60,449000
1,195000
80,420000
396,4260000
345,3500000
60,315000
441,3200000
200,2400000
135,400000
110,330000
139,900000
371,3300000
360,4400000
165,880000
56,190000
75,695000
320,3500000
58,375000
90,480000
400,2500000
260,1550000
14,20000
354,3190000
,4000000
196,1030000
140,820000
65,310000
82,260000
70,238000
89,399000
122,490000
90,225000
130,669000
80,220000
120,355000
165,470000
90,297000
80,210000
101,589000
56,280000
70,203000
45,165000
167,635000
165,1080000
151,475000
85,388000
101,295000
140,455000
79,670000
112,690000
85,390000
85,780000
75,235000
72,390000
72,415000
126,441000
215,775000
60,320000
82,349000
48,195000
96,480000
64,255000
80,395000
80,265000
346,3950000
128,895000
46,198000
79,242000
144,790000
50,449000
204,1320000
80,369000
65,268000
96,500000
103,390000
90,345000
240,2200000
70,273000
120,780000
80,525000
105,420000
130,740000
60,380000
95,395000
90,259000
97,690000
35,239000
110,680000
150,990000
43,270000
110,415000
70,1050000
90,520000
77,165000
41,290000
140,790000
65,320000
60,278000
169,690000
237,1250000
64,199000
75,395000
161,1120000
52,395000
116,935000
120,520000
170,590000
178,1470000
268,1750000
65,350000
107,677000
145,840000
85,280000
240,2100000
70,355000
702,2600000
117,720000
48,210000
53,200000
156,790000
75,275000
70,620000
110,480000
210,1180000
158,780000
35,240000
91,320000
135,458000
65,335000
94,460000
90,1100000
100,498000
134,1150000
160,1350000
150,790000
660,3100000
40,210000
66,395000
53,189000
500,1550000
170,650000
220,1700000
90,575000
106,650000
90,239000
35,220000
140,1210000
50,179000
52,275000
85,349000
70,185000
145,579000
65,430000
60,179000
115,299000
165,1290000
145,640000
65,229000
96,450000
110,720000
79,335000
140,630000
61,295000
176,1250000
90,190000
95,510000
60,330000
205,929000
253,1470000
95,698000
100,820000
135,765000
65,247000
75,420000
55,269000
64,290000
200,2480000
80,345000
65,310000
113,270000
44,235000
45,529000
174,3000000
117,680000
130,725000
95,560000
90,370000
96,410000
45,370000
75,272000
50,290000
53,300000
107,290000
110,520000
121,710000
100,348000
181,1315000
120,780000
150,720000
50,275000
115,695000
93,338000
135,650000
80,289000
215,1327000
105,795000
195,1295000
120,495000
40,395000
45,517500
120,670000
90,198000
230,850000
73,350000
63,350000
90,570000
80,420000
135,445000
85,349000
81,239000
230,1490000
70,295000
80,479000
,2200000
175,1350000
111,795000
130,388000
70,265000
105,495000
35,220000
106,669000
30,200000
97,280000
80,469000
90,329000
90,399000
115,698000
92,365000
160,1350000
125,890000
65,219000
50,159000
118,819000
50,287000
150,870000
40,215000
130,490000
200,919000
50,408000
145,460000
90,315000
50,178000
120,449000
65,214000
56,260000
111,539000
55,229000
65,195000
110,514000
40,139000
69,219000
125,573000
50,175000
55,209000
50,239000
103,349000
65,199000
53,219000
110,480000
56,220000
95,460000
55,245000
52,290000
52,175000
75,249000
246,1340000
151,1130000
110,280000
60,179000
94,330000
80,365000
78,248000
101,295000
60,235000
90,469000
60,227000
91,355000
145,590000
135,474000
50,360000
75,310000
59,259000
96,485000
75,269000
150,725000
103,548000
45,225000
25,130000
32,199000
90,225000
129,995000
80,520000
231,1300000
65,169000
80,325000
85,270000
148,950000
95,349000
85,420000
64,265000
120,435000
85,320000
122,295000
70,179000
27,215000
70,185000
66,385000
110,780000
89,235000
150,790000
165,639000
75,275000
74,350000
130,659000
68,170000
103,370000
90,289000
85,380000
118,626000
73,315000
42,250000
90,435000
95,500000
50,299000
89,239000
75,298000
64,328000
104,820000
150,860000
140,585000
180,1800000
100,900000
114,529000
52,125000
120,385000
50,265000
130,900000
110,205000
245,748000
207,1300000
140,1065000
156,1080000
100,695000
45,115000
50,250000
118,590000
144,576000
53,365000
120,398000
85,365000
85,285000
55,215000
55,179000
71,208000
79,305000
119,429000
60,155000
40,140000
85,325000
85,350000
63,350000
65,450000
181,1200000
179,755000
171,1690000
114,698000
56,219000
53,275000
69,350000
135,875000
99,360000
309,1790000
102,359000
87,298000
120,790000
55,355000
145,850000
70,292000
75,207000
79,295000
108,890000
80,299000
130,475000
102,359000
123,399000
180,1150000
154,493000
100,730000
160,740000
86,750000
76,318000
83,240000
55,190000
130,1200000
90,479000
120,840000
49,149000
180,1380000
85,339000
61,189000
48,108000
60,209000
102,260000
106,285000
120,620000
137,470000
80,285000
80,220000
69,210000
93,487000
93,390000
65,360000
100,1100000
58,220000
75,300000
85,428000
101,670000
105,785000
105,345000
125,815000
120,695000
45,285000
68,165000
115,840000
344,2600000
53,200000
157,799000
70,2100000
85,399000
40,125000
84,495000
97,665000
145,650000
120,797000
97,597000
110,570000
60,263400
150,840000
132,609000
150,1160000
65,269000
146,686500
160,689500
69,305000
110,720000
80,560000
130,570000
177,896900
50,470000
90,399000
75,298000
80,230000
115,970000
80,300000
86,365000
165,595000
151,480000
105,279000
95,630000
67,159000
131,695000
92,465000
90,680000
90,515000
45,288000
183,760000
139,1150000
106,255000
70,515000
110,720000
95,339000
80,374000
61,238000
45,225000
80,408000
101,725000
160,616000
80,380000
30,175000
162,1600000
134,648000
118,540000
68,305000
126,925000
113,857000
145,530000
145,530000
70,285000
95,545000
102,628000
138,850000
60,424000
98,851000
89,423000
30,289000
80,349000
180,990000
185,1050000
28,133000
90,400000
180,540000
114,785000
85,199000
95,335000
126,525000
128,1090000
90,219000
70,385000
143,780000
125,850000
55,149000
90,400000
122,745000
95,279000
102,407000
70,249000
110,590000
120,899000
130,790000
86,470000
95,630000
86,650000
120,255000
105,790000
175,1580000
150,495000
68,298000
90,415000
75,350000
115,980000
60,350000
47,159000
150,419000
346,3950000
70,285000
119,570000
70,280000
63,340000
75,285000
55,320000
94,650000
2,530000
90,398000
131,550000
84,189000
230,1230000
48,260000
80,209000
125,580000
60,278000
64,178000
65,159000
65,297000
64,280000
120,550000
50,230000
130,1400000
90,185000
65,330000
73,335000
151,1190000
90,450000
35,280000
70,465000
110,245000
